threshold,keep_ratio,reject_ratio,baseline_hours,pipeline_hours,hours_saved,speedup
0.05,0.9889064976228209,0.011093502377179099,50.0,49.45921377002993,0.5407862299700679,1.010933983554299
0.1,0.9766244057052298,0.023375594294770208,50.0,48.84510917415038,1.1548908258496198,1.0236439399026014
0.15,0.9631537242472267,0.03684627575277333,50.0,48.17157510125022,1.8284248987497833,1.03795651055434
0.2,0.9496830427892234,0.05031695721077656,50.0,47.49804102835006,2.501958971649939,1.0526749928519494
0.25,0.9263074484944532,0.07369255150554677,50.0,46.32926131361155,3.6707386863884475,1.0792315392542204
0.3,0.8934231378763867,0.10657686212361328,50.0,44.68504578270822,5.314954217291775,1.1189425707011025
0.35,0.8740095087163233,0.12599049128367668,50.0,43.71436432470506,6.285635675294939,1.1437887928234753
0.39999999999999997,0.8304278922345484,0.16957210776545162,50.0,41.53528350061631,8.46471649938369,1.203795804096488
0.44999999999999996,0.778526148969889,0.22147385103011097,50.0,38.94019633738335,11.059803662616654,1.2840202336627418
0.49999999999999994,0.7183042789223455,0.2816957210776545,50.0,35.92910283500616,14.070897164993836,1.3916295163174626
0.5499999999999999,0.6465927099841522,0.3534072900158478,50.0,32.3435243880965,17.6564756119035,1.5459045031716356
0.6,0.5538827258320127,0.4461172741679873,50.0,27.70802518048952,22.29197481951048,1.8045313469401374
0.65,0.4615689381933439,0.5384310618066561,50.0,23.092335798556082,26.907664201443918,2.1652205491973833
0.7,0.4207606973058637,0.5792393026941363,50.0,21.051923754182074,28.948076245817926,2.3750798541661657
0.75,0.3724247226624406,0.6275752773375594,50.0,18.635125022010918,31.364874977989082,2.6831051544297337
0.7999999999999999,0.2868462757527734,0.7131537242472266,50.0,14.356202676527557,35.64379732347244,3.482815137581624
0.85,0.1945324881141046,0.8054675118858954,50.0,9.740513294594118,40.259486705405884,5.133199708043053
0.9,0.11450079239302693,0.8854992076069731,50.0,5.738928508540235,44.26107149145977,8.712427751207185
0.95,0.09706814580031696,0.902931854199683,50.0,4.867296178904737,45.13270382109527,10.272643817465665
